item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/14),"3,155",1일전 (01/13),"3,185",1주일전 (01/07),"3,262",2주일전 (12/31),"3,028",1개월전,298,1년전,281,일평년,308,2021-01-14
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/14),"2,517",1일전 (01/13),"2,411",1주일전 (01/07),"2,353",2주일전 (12/31),"2,147",1개월전,220,1년전,216,일평년,237,2021-01-14
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/15),"2,992",1일전 (01/14),"2,990",1주일전 (01/08),"2,987",2주일전 (01/01),-,1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-15
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/15),"6,122",1일전 (01/14),"6,114",1주일전 (01/08),"5,979",2주일전 (01/01),-,1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-15
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/15),"4,599",1일전 (01/14),"4,599",1주일전 (01/08),"4,562",2주일전 (01/01),-,1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-15
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/15),"3,151",1일전 (01/14),"3,155",1주일전 (01/08),"3,268",2주일전 (01/01),-,1개월전,298,1년전,281,일평년,308,2021-01-15
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/15),"2,494",1일전 (01/14),"2,517",1주일전 (01/08),"2,353",2주일전 (01/01),-,1개월전,220,1년전,216,일평년,237,2021-01-15
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/16),-,1일전 (01/15),"2,992",1주일전 (01/09),-,2주일전 (01/02),-,1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-16
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/16),-,1일전 (01/15),"6,122",1주일전 (01/09),-,2주일전 (01/02),-,1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-16
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/16),-,1일전 (01/15),"4,599",1주일전 (01/09),-,2주일전 (01/02),-,1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-16
